57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
861 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 88 tenants (or 440 ppl) per floor total
862 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 89 tenants (or 445 ppl) per floor total
864 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 90 tenants (or 450 ppl) per floor total
865 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 91 tenants (or 455 ppl) per floor total
866 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 92 tenants (or 460 ppl) per floor total
868 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 93 tenants (or 465 ppl) per floor total
869 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 94 tenants (or 470 ppl) per floor total
870 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 95 tenants (or 475 ppl) per floor total
872 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 96 tenants (or 480 ppl) per floor total
873 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 97 tenants (or 485 ppl) per floor total
874 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 98 tenants (or 490 ppl) per floor total
876 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 99 tenants (or 495 ppl) per floor total
877 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 100 tenants (or 500 ppl) per floor total
878 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 101 tenants (or 505 ppl) per floor total
880 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 102 tenants (or 510 ppl) per floor total
881 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 103 tenants (or 515 ppl) per floor total
882 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 104 tenants (or 520 ppl) per floor total
884 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 105 tenants (or 525 ppl) per floor total
885 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 106 tenants (or 530 ppl) per floor total
886 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 107 tenants (or 535 ppl) per floor total
888 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 108 tenants (or 540 ppl) per floor total
889 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 109 tenants (or 545 ppl) per floor total
889 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 110 tenants (or 550 ppl) per floor total
891 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 111 tenants (or 555 ppl) per floor total
892 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 112 tenants (or 560 ppl) per floor total
893 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 113 tenants (or 565 ppl) per floor total
895 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 114 tenants (or 570 ppl) per floor total
896 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 115 tenants (or 575 ppl) per floor total
897 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 116 tenants (or 580 ppl) per floor total
899 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 117 tenants (or 585 ppl) per floor total
900 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 118 tenants (or 590 ppl) per floor total
901 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 119 tenants (or 595 ppl) per floor total
903 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 120 tenants (or 600 ppl) per floor total
904 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 121 tenants (or 605 ppl) per floor total
905 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 122 tenants (or 610 ppl) per floor total
907 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 123 tenants (or 615 ppl) per floor total
908 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 124 tenants (or 620 ppl) per floor total
909 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 125 tenants (or 625 ppl) per floor total
911 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 126 tenants (or 630 ppl) per floor total
912 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 127 tenants (or 635 ppl) per floor total
913 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 128 tenants (or 640 ppl) per floor total
915 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 129 tenants (or 645 ppl) per floor total
916 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 130 tenants (or 650 ppl) per floor total
917 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 131 tenants (or 655 ppl) per floor total
919 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 132 tenants (or 660 ppl) per floor total
920 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 133 tenants (or 665 ppl) per floor total
921 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 134 tenants (or 670 ppl) per floor total
923 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 135 tenants (or 675 ppl) per floor total
924 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 136 tenants (or 680 ppl) per floor total
925 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 137 tenants (or 685 ppl) per floor total
927 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 138 tenants (or 690 ppl) per floor total
928 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 139 tenants (or 695 ppl) per floor total
929 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 140 tenants (or 700 ppl) per floor total
931 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 141 tenants (or 705 ppl) per floor total
932 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 142 tenants (or 710 ppl) per floor total
932 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 143 tenants (or 715 ppl) per floor total
934 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 144 tenants (or 720 ppl) per floor total
935 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 145 tenants (or 725 ppl) per floor total
936 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 146 tenants (or 730 ppl) per floor total
938 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 147 tenants (or 735 ppl) per floor total
939 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 148 tenants (or 740 ppl) per floor total
940 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 149 tenants (or 745 ppl) per floor total
942 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 150 tenants (or 750 ppl) per floor total
943 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 151 tenants (or 755 ppl) per floor total
944 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 152 tenants (or 760 ppl) per floor total
946 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 153 tenants (or 765 ppl) per floor total
947 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 154 tenants (or 770 ppl) per floor total
948 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 155 tenants (or 775 ppl) per floor total
950 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 156 tenants (or 780 ppl) per floor total
951 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 157 tenants (or 785 ppl) per floor total
952 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 158 tenants (or 790 ppl) per floor total
954 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 159 tenants (or 795 ppl) per floor total
955 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 160 tenants (or 800 ppl) per floor total
956 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 161 tenants (or 805 ppl) per floor total
957 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 162 tenants (or 810 ppl) per floor total
958 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 163 tenants (or 815 ppl) per floor total
959 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 164 tenants (or 820 ppl) per floor total
961 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 165 tenants (or 825 ppl) per floor total
962 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 166 tenants (or 830 ppl) per floor total
963 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 167 tenants (or 835 ppl) per floor total
965 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 168 tenants (or 840 ppl) per floor total
966 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 169 tenants (or 845 ppl) per floor total
967 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 170 tenants (or 850 ppl) per floor total
969 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 171 tenants (or 855 ppl) per floor total
970 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 172 tenants (or 860 ppl) per floor total
971 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 173 tenants (or 865 ppl) per floor total
973 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 174 tenants (or 870 ppl) per floor total
974 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 175 tenants (or 875 ppl) per floor total
975 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 176 tenants (or 880 ppl) per floor total
977 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 177 tenants (or 885 ppl) per floor total
978 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 178 tenants (or 890 ppl) per floor total
979 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 179 tenants (or 895 ppl) per floor total
981 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 180 tenants (or 900 ppl) per floor total
982 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 181 tenants (or 905 ppl) per floor total
983 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 182 tenants (or 910 ppl) per floor total
985 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 183 tenants (or 915 ppl) per floor total
986 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 184 tenants (or 920 ppl) per floor total
986 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 185 tenants (or 925 ppl) per floor total
988 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 186 tenants (or 930 ppl) per floor total
989 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 187 tenants (or 935 ppl) per floor total
990 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 188 tenants (or 940 ppl) per floor total
992 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 189 tenants (or 945 ppl) per floor total
993 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 190 tenants (or 950 ppl) per floor total
994 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 191 tenants (or 955 ppl) per floor total
996 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 192 tenants (or 960 ppl) per floor total
997 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 193 tenants (or 965 ppl) per floor total
998 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 194 tenants (or 970 ppl) per floor total
1000 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 195 tenants (or 975 ppl) per floor total
1001 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 196 tenants (or 980 ppl) per floor total
1002 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 197 tenants (or 985 ppl) per floor total
1004 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 198 tenants (or 990 ppl) per floor total
1005 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 199 tenants (or 995 ppl) per floor total
1006 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 200 tenants (or 1000 ppl) per floor total
1008 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 201 tenants (or 1005 ppl) per floor total
1009 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 202 tenants (or 1010 ppl) per floor total
1010 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 203 tenants (or 1015 ppl) per floor total
1011 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 204 tenants (or 1020 ppl) per floor total
1012 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 205 tenants (or 1025 ppl) per floor total
1013 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 206 tenants (or 1030 ppl) per floor total
1015 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 207 tenants (or 1035 ppl) per floor total
1016 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 208 tenants (or 1040 ppl) per floor total
1017 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 209 tenants (or 1045 ppl) per floor total
1019 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 210 tenants (or 1050 ppl) per floor total
1020 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 211 tenants (or 1055 ppl) per floor total
1021 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 212 tenants (or 1060 ppl) per floor total
1023 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 213 tenants (or 1065 ppl) per floor total
1024 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 214 tenants (or 1070 ppl) per floor total
1025 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 215 tenants (or 1075 ppl) per floor total
1027 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 216 tenants (or 1080 ppl) per floor total
1028 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 217 tenants (or 1085 ppl) per floor total
1029 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 218 tenants (or 1090 ppl) per floor total
1031 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 219 tenants (or 1095 ppl) per floor total
1032 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 220 tenants (or 1100 ppl) per floor total
1033 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 221 tenants (or 1105 ppl) per floor total
1035 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 222 tenants (or 1110 ppl) per floor total
1036 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 223 tenants (or 1115 ppl) per floor total
1037 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 224 tenants (or 1120 ppl) per floor total
1039 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 225 tenants (or 1125 ppl) per floor total
1040 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 226 tenants (or 1130 ppl) per floor total
1041 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 227 tenants (or 1135 ppl) per floor total
1043 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 228 tenants (or 1140 ppl) per floor total
1044 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 229 tenants (or 1145 ppl) per floor total
1045 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 230 tenants (or 1150 ppl) per floor total
1047 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 231 tenants (or 1155 ppl) per floor total
1048 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 232 tenants (or 1160 ppl) per floor total
1049 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 233 tenants (or 1165 ppl) per floor total
1051 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 234 tenants (or 1170 ppl) per floor total
1052 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 235 tenants (or 1175 ppl) per floor total
1053 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 236 tenants (or 1180 ppl) per floor total
1055 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 237 tenants (or 1185 ppl) per floor total
1056 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 238 tenants (or 1190 ppl) per floor total
1057 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 239 tenants (or 1195 ppl) per floor total
1059 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 240 tenants (or 1200 ppl) per floor total
1060 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 241 tenants (or 1205 ppl) per floor total
1061 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 242 tenants (or 1210 ppl) per floor total
1063 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 243 tenants (or 1215 ppl) per floor total
1064 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 244 tenants (or 1220 ppl) per floor total
1065 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 245 tenants (or 1225 ppl) per floor total
1067 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 246 tenants (or 1230 ppl) per floor total
1068 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 247 tenants (or 1235 ppl) per floor total
1069 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 248 tenants (or 1240 ppl) per floor total
1071 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 249 tenants (or 1245 ppl) per floor total
1072 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 250 tenants (or 1250 ppl) per floor total
1073 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 251 tenants (or 1255 ppl) per floor total
1075 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 252 tenants (or 1260 ppl) per floor total
1076 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 253 tenants (or 1265 ppl) per floor total
1077 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 254 tenants (or 1270 ppl) per floor total
1079 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 255 tenants (or 1275 ppl) per floor total
1080 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 256 tenants (or 1280 ppl) per floor total
1081 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 257 tenants (or 1285 ppl) per floor total
1083 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 258 tenants (or 1290 ppl) per floor total
1084 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 259 tenants (or 1295 ppl) per floor total
1085 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 260 tenants (or 1300 ppl) per floor total
1087 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 261 tenants (or 1305 ppl) per floor total
1088 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 262 tenants (or 1310 ppl) per floor total
1089 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 263 tenants (or 1315 ppl) per floor total
1091 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 264 tenants (or 1320 ppl) per floor total
1092 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 265 tenants (or 1325 ppl) per floor total
1093 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 266 tenants (or 1330 ppl) per floor total
1095 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 267 tenants (or 1335 ppl) per floor total
1096 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 268 tenants (or 1340 ppl) per floor total
1097 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 269 tenants (or 1345 ppl) per floor total
1099 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 270 tenants (or 1350 ppl) per floor total
1100 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 271 tenants (or 1355 ppl) per floor total
1101 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 272 tenants (or 1360 ppl) per floor total
1103 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 273 tenants (or 1365 ppl) per floor total
1104 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 274 tenants (or 1370 ppl) per floor total
1105 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 275 tenants (or 1375 ppl) per floor total
1107 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 276 tenants (or 1380 ppl) per floor total
1108 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 277 tenants (or 1385 ppl) per floor total
1109 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 278 tenants (or 1390 ppl) per floor total
1111 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 279 tenants (or 1395 ppl) per floor total
1112 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 280 tenants (or 1400 ppl) per floor total
1113 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 281 tenants (or 1405 ppl) per floor total
1115 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 282 tenants (or 1410 ppl) per floor total
1116 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 283 tenants (or 1415 ppl) per floor total
1117 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 284 tenants (or 1420 ppl) per floor total
1119 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 285 tenants (or 1425 ppl) per floor total
1120 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 286 tenants (or 1430 ppl) per floor total
1121 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 287 tenants (or 1435 ppl) per floor total
1123 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 288 tenants (or 1440 ppl) per floor total
1124 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 289 tenants (or 1445 ppl) per floor total
1125 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 290 tenants (or 1450 ppl) per floor total
1127 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 291 tenants (or 1455 ppl) per floor total
1128 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 292 tenants (or 1460 ppl) per floor total
1129 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 293 tenants (or 1465 ppl) per floor total
1131 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 294 tenants (or 1470 ppl) per floor total
1132 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 295 tenants (or 1475 ppl) per floor total
1133 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 296 tenants (or 1480 ppl) per floor total
1135 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 297 tenants (or 1485 ppl) per floor total
1136 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 298 tenants (or 1490 ppl) per floor total
1137 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 299 tenants (or 1495 ppl) per floor total
1139 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 300 tenants (or 1500 ppl) per floor total
1140 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 301 tenants (or 1505 ppl) per floor total
1141 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 302 tenants (or 1510 ppl) per floor total
1143 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 303 tenants (or 1515 ppl) per floor total
1144 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 304 tenants (or 1520 ppl) per floor total
1145 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 305 tenants (or 1525 ppl) per floor total
1147 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 306 tenants (or 1530 ppl) per floor total
1148 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 307 tenants (or 1535 ppl) per floor total
1149 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 308 tenants (or 1540 ppl) per floor total
1151 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 309 tenants (or 1545 ppl) per floor total
1152 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 310 tenants (or 1550 ppl) per floor total
1153 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 311 tenants (or 1555 ppl) per floor total
1155 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 312 tenants (or 1560 ppl) per floor total
1156 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 313 tenants (or 1565 ppl) per floor total
1157 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 314 tenants (or 1570 ppl) per floor total
1159 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 315 tenants (or 1575 ppl) per floor total
1160 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 316 tenants (or 1580 ppl) per floor total
1161 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 317 tenants (or 1585 ppl) per floor total
1163 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 318 tenants (or 1590 ppl) per floor total
1164 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 319 tenants (or 1595 ppl) per floor total
